id_petshop,id_produto,id_cliente,created_at,quantidade,valor
5,23,486,2020-11-19,4,259.99
3,23,159,2019-09-11,3,259.99
2,22,434,2019-12-06,4,78.99
3,11,382,2020-04-05,1,52.5
6,21,287,2020-04-18,1,3299.99
5,6,6,2020-06-12,3,9.99
6,20,433,2020-12-27,3,95.99
6,4,215,2021-10-27,4,131.99
6,13,433,2019-11-10,5,35
1,23,97,2021-02-11,2,259.99
6,19,378,2022-03-30,2,31.99
6,16,310,2021-07-05,5,106.99
2,6,14,2021-05-28,4,9.99
3,13,6,2021-03-14,5,35
2,3,378,2022-01-27,3,154.9
3,13,211,2020-07-04,1,35
1,18,238,2021-10-12,1,95.99
5,3,242,2020-10-23,4,154.9
3,17,122,2022-01-13,5,70.3
4,22,428,2022-04-29,3,78.99
6,4,353,2022-04-25,4,131.99
4,9,420,2020-01-11,4,28.99
6,10,200,2019-11-26,1,20.99
2,8,280,2019-09-14,4,21.99
5,10,14,2022-03-14,5,20.99
4,4,281,2019-10-31,1,131.99
3,10,366,2021-05-02,3,20.99
2,12,469,2020-12-29,1,129.99
6,13,124,2020-12-23,5,35
5,4,488,2021-11-27,3,131.99
6,17,60,2019-06-09,1,70.3
5,23,423,2021-02-13,4,259.99
3,9,371,2019-06-09,2,28.99
5,11,235,2021-12-04,2,52.5
6,11,384,2021-06-28,5,52.5
2,12,368,2021-03-23,2,129.99
6,6,358,2021-06-24,1,9.99
2,9,395,2021-06-04,5,28.99
5,17,325,2022-05-25,5,70.3
3,5,244,2020-07-07,2,28.99
6,14,433,2021-02-23,4,57.9
6,1,2,2020-02-22,4,360
6,18,211,2019-09-05,3,95.99
6,23,270,2019-10-23,2,259.99
2,15,476,2021-05-24,5,548.99
5,11,479,2021-01-24,2,52.5
5,11,487,2022-01-08,2,52.5
1,4,90,2019-07-13,3,131.99
4,10,438,2022-01-24,4,20.99
1,17,276,2021-05-24,1,70.3
4,1,301,2021-01-18,5,360
3,4,227,2021-03-07,2,131.99
2,1,461,2019-11-22,3,360
6,16,477,2019-08-28,3,106.99
3,10,9,2021-02-16,4,20.99
6,23,324,2022-03-30,2,259.99
4,6,254,2021-08-03,3,9.99
3,1,300,2021-05-21,2,360
5,18,269,2020-03-26,2,95.99
2,15,132,2019-06-04,5,548.99
6,12,469,2020-05-19,4,129.99
1,11,500,2021-09-13,3,52.5
2,19,337,2020-06-23,4,31.99
3,13,447,2020-06-10,2,35
1,12,69,2022-02-03,4,129.99
2,3,40,2021-08-31,4,154.9
3,10,381,2019-11-29,5,20.99
4,6,280,2019-09-13,1,9.99
5,13,345,2019-12-13,3,35
1,19,375,2019-08-12,3,31.99
2,19,201,2020-01-25,4,31.99
2,18,409,2019-12-12,2,95.99
2,20,208,2022-03-17,3,95.99
4,4,169,2020-12-15,2,131.99
4,23,278,2020-02-16,5,259.99
1,16,113,2021-01-22,2,106.99
6,4,29,2020-08-23,3,131.99
4,3,37,2020-10-10,4,154.9
1,22,477,2021-01-25,4,78.99
1,6,294,2020-09-27,2,9.99
2,23,470,2020-04-24,5,259.99
5,7,6,2020-04-11,2,8.99
6,19,81,2022-02-18,3,31.99
1,12,426,2020-07-24,3,129.99
3,6,79,2019-08-31,1,9.99
4,10,287,2022-05-21,4,20.99
2,13,400,2021-12-14,5,35
3,5,189,2019-11-18,3,28.99
4,1,155,2021-09-08,4,360
2,3,4,2020-11-23,2,154.9
1,4,466,2019-11-18,3,131.99
3,3,350,2020-02-04,2,154.9
1,13,182,2019-07-08,5,35
4,16,485,2022-01-14,4,106.99
6,17,144,2021-04-19,5,70.3
2,5,227,2019-11-13,5,28.99
3,22,394,2020-10-18,1,78.99
3,17,235,2019-11-24,3,70.3
5,16,297,2021-06-29,2,106.99
3,3,149,2021-01-28,2,154.9
3,15,459,2021-12-23,3,548.99
2,9,31,2020-08-18,4,28.99
4,8,205,2019-10-09,3,21.99
4,13,196,2021-11-19,2,35
1,18,488,2019-08-01,4,95.99
3,6,301,2020-04-11,4,9.99
1,1,11,2021-11-06,1,360
2,16,177,2020-08-16,3,106.99
1,6,29,2022-02-25,4,9.99
5,17,479,2020-08-06,5,70.3
2,22,422,2021-12-31,4,78.99
1,7,253,2021-05-15,5,8.99
6,8,411,2022-03-15,3,21.99
2,11,280,2022-05-22,4,52.5
6,10,56,2020-02-19,4,20.99
6,17,223,2019-07-21,5,70.3
2,13,468,2020-12-11,3,35
6,9,376,2022-01-07,2,28.99
2,17,166,2020-07-04,3,70.3
3,13,32,2020-08-05,3,35
4,1,129,2019-09-07,2,360
2,11,411,2019-10-11,1,52.5
3,23,8,2021-12-24,5,259.99
6,1,329,2020-05-18,1,360
1,18,216,2020-02-16,3,95.99
6,20,287,2020-05-27,4,95.99
6,16,268,2020-03-10,1,106.99
2,7,405,2021-03-02,1,8.99
3,8,159,2021-12-18,2,21.99
6,4,35,2021-09-03,2,131.99
6,13,104,2021-09-23,2,35
3,4,75,2020-09-11,5,131.99
6,22,368,2020-10-12,4,78.99
1,22,473,2019-08-21,3,78.99
5,12,251,2020-06-29,4,129.99
